тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
featured channel,варты ўвагі канал,,Google (One of several channels that can be added to a special featured channels module on a user's channel page. These channels are specifically chosen by the channel owner and are often ones that they want to promote. They may be part of the user's brand community to keep other users progressing through their brand experience as they explore YouTube.)
Featured Movies,Вартыя ўвагі фільмы,,"Google (Homepage section title, above Spotlights. Contains a selection of movies chosen from Movie Spotlights. Varies by country and region.)"
featured playlist,варты ўвагі плэй-ліст,,Google (A playlist selected by a channel owner on their channel page as one they want to promote.)
featured tab,укладка вартага ўвагі,,Google (A subsection of a channel page where the channel owner can choose exactly what they want their visitors to see.)
featured video,вартае ўвагі відэа,,"Google (A video drawn from a pool of partner content, chosen for a user by an algorithm based on their interests, viewing history and other factors.)"
Featured videos,Варт. ўвагі відэа,,Samsung
fee,аплата,,"MS — аплата, плата"
feed,"! канал, навіны, лента навін",,"Samsung, Google
У Гугл ёсць радок channel feed — навіны канала"
feedback,водгук,,"Google (Comments or opinions about and reactions to something, intended to provide useful information for future business decisions and development.)"
feedback,"водгук, зваротная сувязь",,"Telegram — водгук;
MS — водгук, зваротная сувязь"
female,жаночы,,Samsung
fencing,агароджа,,Project Zomboid
festival,фестываль,,Samsung
festival effect,святочны эфект,,Samsung
fetch,fetch (Git),,
FHD,FHD,,Samsung
field,поле,,Samsung
fighting games,файтынг-гульні,,Google
Fiji,Фіджы,,CLDR
file,"файл, файла",,Samsung
file manager,файлавы менеджар,,MS — файлавы менеджар
file name,назва файла,,Samsung
file property,уласцівасці файла,,MS
File viewer,Праглядальнік файлаў,,Samsung
filename,назва файла,,"Google (The set of letters, numbers, and allowable symbols assigned to a file to distinguish it from all other files in a particular directory on a disk. A file name is the label under which a computer user saves and requests a block of information.)"
filesystem,файлавая сістэма,,
Filipino,філіпінская,,CLDR
fill,запаўняць; запаўненне,,"Samsung, Google"
fill light,запаўняючае святло,,"Google (NOUN: In television, film, stage, or photographic lighting, a fill light (often simply fill) may be used to reduce the contrast of a scene and provide some illumination for the areas of the image that are in shadow. This enables the user to brighten a photo without blowing out the parts of the photo that are already bright.)"
film grain,зярністасць стужкі,,Google (Add film grain to the photo)
Filmstrip,Кінастужка,,"Google (View type in Google Camera, photos appear in a filmstrip view.)"
filter,фільтраваць; фільтр; фільтраванне,,"Google — фільтр (A filter in Google Photos is a programmatically implemented optical filter, allowing the user to create different visual effects.);
Samsung — фільтр;
Anki, MS, Telegram — фільтраваць; фільтр; фільтраванне"
filter view,прагляд фільтра,,Google
filtered,фільтраваны,,"Anki, MS"
filtered b&w,ч/б-фільтр,фільтр чорна-белы,Google (Turns the photo into a b&amp;w photo and allows the user to adjust which colors are mapped to which shades of gray)
finalize,закончыць,,няма ў тэрмінах
Financial reports,Фінансавыя справаздачы,,Google (Reports that include revenue data from Google Play app + in-app products/subscriptions sales and money paid to app developers.)
find,знайсці,,
Find more games,Знайсці больш гульняў,,Samsung
Find My Car,Пошук майго аўтамабіля,,Samsung
Find My Device,Знайсці маю прыладу,,Samsung
Find My Mobile,Знайсці мой тэлефон,,Samsung
Find My Phone,Знайсці мой тэлефон,,Samsung
finger,палец,,Samsung
Finger Scanner,Finger Scanner,,Samsung
fingerprint,адбітак пальца; лічбавы адбітак,,"Google — адбітак пальца (Impression of the pattern of ridges on the palmar surface of the end joint of each finger and thumb); лічбавы адбітак (A digital file created to reference a video or audio asset that is provided to YouTube for inclusion in YouTube's Content Identification program.);
Samsung — адбітак пальца"
fingerprint sensor,сканер адбіткаў пальцаў,датчык адбіткаў пальцаў,"Google (A fingerprint sensor is an electronic device used to capture a digital image of the fingerprint pattern. It allows authentication of a user to unlock a device, for example. Fingerprint authentication is supported by Android Marshmallow.)"
Fingerprint shortcuts,Доступ па адбітках пальцаў,,Samsung
